Year,Month,Food.sub.category,total
2019,April,Bakery products,102033542
2019,April,Canned Meats,41655572
2019,April,Confectionary,17840093
2019,April,Cordial,10766059
2019,April,Crisps and snacks,8651862
2019,April,Electrolyte drinks,23783459
2019,April,Noodles,34445903
2019,April,Processed Meats,41380763
2019,April,Soft Drinks,22874190
2019,April,Sugar,10808079
2019,August,Bakery products,89580882
2019,August,Canned Meats,63142501
2019,August,Confectionary,49488658
2019,August,Cordial,14963912
2019,August,Crisps and snacks,20876634
2019,August,Electrolyte drinks,7439506
2019,August,Noodles,34289047
2019,August,Processed Meats,46948248
2019,August,Soft Drinks,6067647
2019,August,Sugar,18941959
2019,December,Bakery products,100986530
2019,December,Canned Meats,68957364
2019,December,Confectionary,51636060
2019,December,Cordial,16603744
2019,December,Crisps and snacks,15855297
2019,December,Electrolyte drinks,37454053
2019,December,Noodles,26860426
2019,December,Processed Meats,51097016
2019,December,Soft Drinks,36359046
2019,December,Sugar,9200818
2019,February,Bakery products,37961369
2019,February,Canned Meats,12353771
2019,February,Confectionary,33092301
2019,February,Cordial,11269123
2019,February,Crisps and snacks,11372403
2019,February,Electrolyte drinks,9447272
2019,February,Noodles,26354617
2019,February,Processed Meats,11607339
2019,February,Soft Drinks,7547090
2019,February,Sugar,11307573
2019,January,Bakery products,58836067
2019,January,Canned Meats,17768707
2019,January,Confectionary,17546602
2019,January,Cordial,11621633
2019,January,Crisps and snacks,9737480
2019,January,Electrolyte drinks,8143527
2019,January,Noodles,14305221
2019,January,Processed Meats,7805563
2019,January,Soft Drinks,4300396
2019,January,Sugar,4783897
2019,July,Bakery products,53560671
2019,July,Canned Meats,48577861
2019,July,Confectionary,33917514
2019,July,Cordial,25007036
2019,July,Crisps and snacks,8397720
2019,July,Electrolyte drinks,16714018
2019,July,Noodles,32144717
2019,July,Processed Meats,37210952
2019,July,Soft Drinks,12969396
2019,July,Sugar,11811678
2019,June,Bakery products,71706401
2019,June,Canned Meats,37885801
2019,June,Confectionary,23819993
2019,June,Cordial,13244294
2019,June,Crisps and snacks,7994455
2019,June,Electrolyte drinks,16274483
2019,June,Noodles,26076785
2019,June,Processed Meats,21491060
2019,June,Soft Drinks,14903498
2019,June,Sugar,5524048
2019,March,Bakery products,40280739
2019,March,Canned Meats,19773530
2019,March,Confectionary,38128894
2019,March,Cordial,17858084
2019,March,Crisps and snacks,12919979
2019,March,Electrolyte drinks,8679264
2019,March,Noodles,31724202
2019,March,Processed Meats,18846652
2019,March,Soft Drinks,7857422
2019,March,Sugar,7031779
2019,May,Bakery products,60919254
2019,May,Canned Meats,17382521
2019,May,Confectionary,35875114
2019,May,Cordial,20979998
2019,May,Crisps and snacks,13283354
2019,May,Electrolyte drinks,16559703
2019,May,Noodles,49467316
2019,May,Processed Meats,16451835
2019,May,Soft Drinks,15329089
2019,May,Sugar,16677613
2019,November,Bakery products,75025046
2019,November,Canned Meats,51807912
2019,November,Confectionary,51944998
2019,November,Cordial,16094917
2019,November,Crisps and snacks,13491669
2019,November,Electrolyte drinks,10550311
2019,November,Noodles,23839236
2019,November,Processed Meats,44552295
2019,November,Soft Drinks,9743551
2019,November,Sugar,17265978
2019,October,Bakery products,93701998
2019,October,Canned Meats,35324214
2019,October,Confectionary,31900811
2019,October,Cordial,27457649
2019,October,Crisps and snacks,17252024
2019,October,Electrolyte drinks,14945317
2019,October,Noodles,29136385
2019,October,Processed Meats,35050680
2019,October,Soft Drinks,13019783
2019,October,Sugar,10454736
2019,September,Bakery products,47494345
2019,September,Canned Meats,27039172
2019,September,Confectionary,34534807
2019,September,Cordial,14005201
2019,September,Crisps and snacks,12372621
2019,September,Electrolyte drinks,11183866
2019,September,Noodles,27471109
2019,September,Processed Meats,20895759
2019,September,Soft Drinks,10437810
2019,September,Sugar,6923503
2020,April,Bakery products,90123874
2020,April,Canned Meats,16528817
2020,April,Confectionary,27667860
2020,April,Cordial,9158975
2020,April,Crisps and snacks,7043508
2020,April,Electrolyte drinks,3529845
2020,April,Noodles,28548526
2020,April,Processed Meats,11404590
2020,April,Soft Drinks,3053769
2020,April,Sugar,11613525
2020,August,Bakery products,60550609
2020,August,Canned Meats,16530659
2020,August,Confectionary,26086125
2020,August,Cordial,9631479
2020,August,Crisps and snacks,8316737
2020,August,Electrolyte drinks,12614994
2020,August,Noodles,22385284
2020,August,Processed Meats,5454912
2020,August,Soft Drinks,11900376
2020,August,Sugar,27404876
2020,December,Bakery products,76459091
2020,December,Canned Meats,32234043
2020,December,Confectionary,49614711
2020,December,Cordial,20356431
2020,December,Crisps and snacks,21283045
2020,December,Electrolyte drinks,20897509
2020,December,Noodles,45747185
2020,December,Processed Meats,8936957
2020,December,Soft Drinks,15919890
2020,December,Sugar,11950324
2020,February,Bakery products,50984027
2020,February,Canned Meats,32851203
2020,February,Confectionary,23263080
2020,February,Cordial,12502599
2020,February,Crisps and snacks,10807622
2020,February,Electrolyte drinks,17415586
2020,February,Noodles,28521216
2020,February,Processed Meats,32029210
2020,February,Soft Drinks,14573251
2020,February,Sugar,9293217
2020,January,Bakery products,34278118
2020,January,Canned Meats,28615438
2020,January,Confectionary,42235007
2020,January,Cordial,18458944
2020,January,Crisps and snacks,24538243
2020,January,Electrolyte drinks,15245777
2020,January,Noodles,39359894
2020,January,Processed Meats,27751595
2020,January,Soft Drinks,12512131
2020,January,Sugar,8761970
2020,July,Bakery products,64389746
2020,July,Canned Meats,58282653
2020,July,Confectionary,28747325
2020,July,Cordial,10058330
2020,July,Crisps and snacks,14309143
2020,July,Electrolyte drinks,15436091
2020,July,Noodles,42491600
2020,July,Processed Meats,44548736
2020,July,Soft Drinks,14351275
2020,July,Sugar,21134432
2020,June,Bakery products,71419903
2020,June,Canned Meats,61115143
2020,June,Confectionary,23221496
2020,June,Cordial,14713897
2020,June,Crisps and snacks,8720677
2020,June,Electrolyte drinks,12505890
2020,June,Noodles,21536340
2020,June,Processed Meats,25661388
2020,June,Soft Drinks,11792340
2020,June,Sugar,18568022
2020,March,Bakery products,86338245
2020,March,Canned Meats,44095874
2020,March,Confectionary,51969020
2020,March,Cordial,22489085
2020,March,Crisps and snacks,14110617
2020,March,Electrolyte drinks,19293650
2020,March,Noodles,36111266
2020,March,Processed Meats,21225249
2020,March,Soft Drinks,16093997
2020,March,Sugar,26731966
2020,May,Bakery products,43296829
2020,May,Canned Meats,61068777
2020,May,Confectionary,14372125
2020,May,Cordial,13947259
2020,May,Crisps and snacks,3932725
2020,May,Electrolyte drinks,17602492
2020,May,Noodles,15360678
2020,May,Processed Meats,29359991
2020,May,Soft Drinks,13073066
2020,May,Sugar,11265869
2020,November,Bakery products,96476685
2020,November,Canned Meats,66547780
2020,November,Confectionary,43424373
2020,November,Cordial,19233015
2020,November,Crisps and snacks,16351430
2020,November,Electrolyte drinks,18295060
2020,November,Noodles,37123585
2020,November,Processed Meats,33402754
2020,November,Soft Drinks,15300966
2020,November,Sugar,15312344
2020,October,Bakery products,57202948
2020,October,Canned Meats,36354758
2020,October,Confectionary,42001309
2020,October,Cordial,13265455
2020,October,Crisps and snacks,19917857
2020,October,Electrolyte drinks,5141200
2020,October,Noodles,43118230
2020,October,Processed Meats,22283671
2020,October,Soft Drinks,2464586
2020,October,Sugar,20059399
2020,September,Bakery products,66190198
2020,September,Canned Meats,50814778
2020,September,Confectionary,27764961
2020,September,Cordial,18239608
2020,September,Crisps and snacks,16071018
2020,September,Electrolyte drinks,11578250
2020,September,Noodles,32593189
2020,September,Processed Meats,12088712
2020,September,Soft Drinks,10824944
2020,September,Sugar,16514770
2021,April,Bakery products,59294474
2021,April,Canned Meats,37416061
2021,April,Confectionary,25122719
2021,April,Cordial,14924271
2021,April,Crisps and snacks,13812176
2021,April,Electrolyte drinks,20311256
2021,April,Noodles,32748275
2021,April,Processed Meats,9815799
2021,April,Soft Drinks,17759553
2021,April,Sugar,5414508
2021,August,Bakery products,63785096
2021,August,Canned Meats,43722027
2021,August,Confectionary,31217076
2021,August,Cordial,11223079
2021,August,Crisps and snacks,14801789
2021,August,Electrolyte drinks,12534561
2021,August,Noodles,31662942
2021,August,Processed Meats,21216802
2021,August,Soft Drinks,11642032
2021,August,Sugar,13865720
2021,February,Bakery products,51948730
2021,February,Canned Meats,44367546
2021,February,Confectionary,35344017
2021,February,Cordial,12321320
2021,February,Crisps and snacks,13947089
2021,February,Electrolyte drinks,9579265
2021,February,Noodles,37495538
